"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1430","Overview page shows the ordered item","","Wed Mar 25 19:34:01 UTC 2026","passed","Wed Mar 25 19:34:03 UTC 2026","","Checkout Tests","com.automation.selenide.tests.CheckoutTest","overviewPageShowsOrderedItem"
"","932","Inventory page displays all products","","Wed Mar 25 19:33:46 UTC 2026","passed","Wed Mar 25 19:33:47 UTC 2026","","Inventory Tests","com.automation.selenide.tests.InventoryTest","inventoryPageDisplaysAllProducts"
"","1168","Continue shopping returns to inventory page","","Wed Mar 25 19:33:55 UTC 2026","passed","Wed Mar 25 19:33:56 UTC 2026","","Cart Tests","com.automation.selenide.tests.CartTest","continueShoppingReturnsToInventory"
"","970","Cart badge not displayed initially","","Wed Mar 25 19:33:45 UTC 2026","passed","Wed Mar 25 19:33:46 UTC 2026","","Inventory Tests","com.automation.selenide.tests.InventoryTest","cartBadgeNotDisplayedInitially"
"","1047","Invalid login shows error message Invalid login shows error message [2] — Epic sadface: Username and password do not match any user in this service","","Wed Mar 25 19:33:49 UTC 2026","passed","Wed Mar 25 19:33:50 UTC 2026","","Login Tests","com.automation.selenide.tests.LoginTest","invalidLoginShowsError"
"","902","Invalid login shows error message Invalid login shows error message [3] — Epic sadface: Username is required","","Wed Mar 25 19:33:50 UTC 2026","passed","Wed Mar 25 19:33:51 UTC 2026","","Login Tests","com.automation.selenide.tests.LoginTest","invalidLoginShowsError"
"","1533","Incomplete form shows validation error Incomplete form shows validation error [3] — Error: Postal Code is required","","Wed Mar 25 19:34:09 UTC 2026","passed","Wed Mar 25 19:34:10 UTC 2026","","Checkout Tests","com.automation.selenide.tests.CheckoutTest","incompleteFormShowsValidationError"
"","929","Invalid login shows error message Invalid login shows error message [4] — Epic sadface: Password is required","","Wed Mar 25 19:33:51 UTC 2026","passed","Wed Mar 25 19:33:52 UTC 2026","","Login Tests","com.automation.selenide.tests.LoginTest","invalidLoginShowsError"
"","1578","Back to products returns to inventory page","","Wed Mar 25 19:34:04 UTC 2026","passed","Wed Mar 25 19:34:06 UTC 2026","","Checkout Tests","com.automation.selenide.tests.CheckoutTest","backToProductsReturnsToInventory"
"","1039","Cart contains the added product","","Wed Mar 25 19:33:57 UTC 2026","passed","Wed Mar 25 19:33:58 UTC 2026","","Cart Tests","com.automation.selenide.tests.CartTest","cartContainsAddedProduct"
"","1574","Finishing order navigates to confirmation page","","Wed Mar 25 19:33:58 UTC 2026","passed","Wed Mar 25 19:34:00 UTC 2026","","Checkout Tests","com.automation.selenide.tests.CheckoutTest","finishingOrderNavigatesToConfirmation"
"","1052","Invalid login shows error message Invalid login shows error message [1] — Epic sadface: Sorry, this user has been locked out.","","Wed Mar 25 19:33:48 UTC 2026","passed","Wed Mar 25 19:33:49 UTC 2026","","Login Tests","com.automation.selenide.tests.LoginTest","invalidLoginShowsError"
"","1070","Cart page has correct title","","Wed Mar 25 19:33:56 UTC 2026","passed","Wed Mar 25 19:33:57 UTC 2026","","Cart Tests","com.automation.selenide.tests.CartTest","cartPageHasCorrectTitle"
"","1388","Incomplete form shows validation error Incomplete form shows validation error [2] — Error: Last Name is required","","Wed Mar 25 19:34:07 UTC 2026","passed","Wed Mar 25 19:34:09 UTC 2026","","Checkout Tests","com.automation.selenide.tests.CheckoutTest","incompleteFormShowsValidationError"
"","2523","Inventory page has correct title","","Wed Mar 25 19:33:39 UTC 2026","passed","Wed Mar 25 19:33:41 UTC 2026","","Inventory Tests","com.automation.selenide.tests.InventoryTest","inventoryPageHasCorrectTitle"
"","1129","Proceed to checkout navigates to info page","","Wed Mar 25 19:33:53 UTC 2026","passed","Wed Mar 25 19:33:54 UTC 2026","","Cart Tests","com.automation.selenide.tests.CartTest","proceedToCheckoutNavigatesToInfoPage"
"","1111","Removing a product empties the cart","","Wed Mar 25 19:33:54 UTC 2026","passed","Wed Mar 25 19:33:55 UTC 2026","","Cart Tests","com.automation.selenide.tests.CartTest","removingProductEmptiesCart"
"","1211","Adding multiple products updates badge count","","Wed Mar 25 19:33:41 UTC 2026","passed","Wed Mar 25 19:33:43 UTC 2026","","Inventory Tests","com.automation.selenide.tests.InventoryTest","addingMultipleProductsUpdatesBadgeCount"
"","1434","Valid info navigates to checkout overview","","Wed Mar 25 19:34:00 UTC 2026","passed","Wed Mar 25 19:34:01 UTC 2026","","Checkout Tests","com.automation.selenide.tests.CheckoutTest","validInfoNavigatesToOverview"
"","1339","User can logout successfully","","Wed Mar 25 19:33:47 UTC 2026","passed","Wed Mar 25 19:33:48 UTC 2026","","Inventory Tests","com.automation.selenide.tests.InventoryTest","userCanLogout"
"","1038","Adding a product updates the cart badge","","Wed Mar 25 19:33:43 UTC 2026","passed","Wed Mar 25 19:33:44 UTC 2026","","Inventory Tests","com.automation.selenide.tests.InventoryTest","addingProductUpdatesCartBadge"
"","1227","Cancel checkout returns to cart page","","Wed Mar 25 19:34:03 UTC 2026","passed","Wed Mar 25 19:34:04 UTC 2026","","Checkout Tests","com.automation.selenide.tests.CheckoutTest","cancelCheckoutReturnsToCart"
"","995","Adding a product shows the remove button","","Wed Mar 25 19:33:44 UTC 2026","passed","Wed Mar 25 19:33:45 UTC 2026","","Inventory Tests","com.automation.selenide.tests.InventoryTest","addingProductShowsRemoveButton"
"","1307","Checkout info page has correct title","","Wed Mar 25 19:34:10 UTC 2026","passed","Wed Mar 25 19:34:11 UTC 2026","","Checkout Tests","com.automation.selenide.tests.CheckoutTest","checkoutInfoPageHasCorrectTitle"
"","948","Standard user can login successfully","","Wed Mar 25 19:33:52 UTC 2026","passed","Wed Mar 25 19:33:53 UTC 2026","","Login Tests","com.automation.selenide.tests.LoginTest","standardUserCanLogin"
"","1426","Incomplete form shows validation error Incomplete form shows validation error [1] — Error: First Name is required","","Wed Mar 25 19:34:06 UTC 2026","passed","Wed Mar 25 19:34:07 UTC 2026","","Checkout Tests","com.automation.selenide.tests.CheckoutTest","incompleteFormShowsValidationError"
