"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1282","Incomplete form shows validation error Incomplete form shows validation error [2] — Error: Last Name is required","","Wed Mar 25 19:29:25 UTC 2026","passed","Wed Mar 25 19:29:26 UTC 2026","","Checkout Tests","com.automation.selenide.tests.CheckoutTest","incompleteFormShowsValidationError"
"","954","Standard user can login successfully","","Wed Mar 25 19:29:10 UTC 2026","passed","Wed Mar 25 19:29:11 UTC 2026","","Login Tests","com.automation.selenide.tests.LoginTest","standardUserCanLogin"
"","1075","Adding a product updates the cart badge","","Wed Mar 25 19:29:01 UTC 2026","passed","Wed Mar 25 19:29:02 UTC 2026","","Inventory Tests","com.automation.selenide.tests.InventoryTest","addingProductUpdatesCartBadge"
"","838","Invalid login shows error message Invalid login shows error message [3] — Epic sadface: Username is required","","Wed Mar 25 19:29:08 UTC 2026","passed","Wed Mar 25 19:29:09 UTC 2026","","Login Tests","com.automation.selenide.tests.LoginTest","invalidLoginShowsError"
"","1124","Cancel checkout returns to cart page","","Wed Mar 25 19:29:21 UTC 2026","passed","Wed Mar 25 19:29:22 UTC 2026","","Checkout Tests","com.automation.selenide.tests.CheckoutTest","cancelCheckoutReturnsToCart"
"","1677","Removing a product empties the cart","","Wed Mar 25 19:29:12 UTC 2026","passed","Wed Mar 25 19:29:14 UTC 2026","","Cart Tests","com.automation.selenide.tests.CartTest","removingProductEmptiesCart"
"","1339","Overview page shows the ordered item","","Wed Mar 25 19:29:20 UTC 2026","passed","Wed Mar 25 19:29:21 UTC 2026","","Checkout Tests","com.automation.selenide.tests.CheckoutTest","overviewPageShowsOrderedItem"
"","1337","Valid info navigates to checkout overview","","Wed Mar 25 19:29:18 UTC 2026","passed","Wed Mar 25 19:29:20 UTC 2026","","Checkout Tests","com.automation.selenide.tests.CheckoutTest","validInfoNavigatesToOverview"
"","1031","Invalid login shows error message Invalid login shows error message [1] — Epic sadface: Sorry, this user has been locked out.","","Wed Mar 25 19:29:06 UTC 2026","passed","Wed Mar 25 19:29:07 UTC 2026","","Login Tests","com.automation.selenide.tests.LoginTest","invalidLoginShowsError"
"","1340","User can logout successfully","","Wed Mar 25 19:29:05 UTC 2026","passed","Wed Mar 25 19:29:06 UTC 2026","","Inventory Tests","com.automation.selenide.tests.InventoryTest","userCanLogout"
"","888","Cart badge not displayed initially","","Wed Mar 25 19:29:03 UTC 2026","passed","Wed Mar 25 19:29:04 UTC 2026","","Inventory Tests","com.automation.selenide.tests.InventoryTest","cartBadgeNotDisplayedInitially"
"","1303","Incomplete form shows validation error Incomplete form shows validation error [1] — Error: First Name is required","","Wed Mar 25 19:29:24 UTC 2026","passed","Wed Mar 25 19:29:25 UTC 2026","","Checkout Tests","com.automation.selenide.tests.CheckoutTest","incompleteFormShowsValidationError"
"","2331","Inventory page has correct title","","Wed Mar 25 19:28:58 UTC 2026","passed","Wed Mar 25 19:29:00 UTC 2026","","Inventory Tests","com.automation.selenide.tests.InventoryTest","inventoryPageHasCorrectTitle"
"","914","Invalid login shows error message Invalid login shows error message [2] — Epic sadface: Username and password do not match any user in this service","","Wed Mar 25 19:29:07 UTC 2026","passed","Wed Mar 25 19:29:08 UTC 2026","","Login Tests","com.automation.selenide.tests.LoginTest","invalidLoginShowsError"
"","1117","Adding multiple products updates badge count","","Wed Mar 25 19:29:00 UTC 2026","passed","Wed Mar 25 19:29:01 UTC 2026","","Inventory Tests","com.automation.selenide.tests.InventoryTest","addingMultipleProductsUpdatesBadgeCount"
"","1486","Finishing order navigates to confirmation page","","Wed Mar 25 19:29:17 UTC 2026","passed","Wed Mar 25 19:29:18 UTC 2026","","Checkout Tests","com.automation.selenide.tests.CheckoutTest","finishingOrderNavigatesToConfirmation"
"","1075","Continue shopping returns to inventory page","","Wed Mar 25 19:29:14 UTC 2026","passed","Wed Mar 25 19:29:15 UTC 2026","","Cart Tests","com.automation.selenide.tests.CartTest","continueShoppingReturnsToInventory"
"","994","Cart page has correct title","","Wed Mar 25 19:29:15 UTC 2026","passed","Wed Mar 25 19:29:16 UTC 2026","","Cart Tests","com.automation.selenide.tests.CartTest","cartPageHasCorrectTitle"
"","1066","Checkout info page has correct title","","Wed Mar 25 19:29:27 UTC 2026","passed","Wed Mar 25 19:29:29 UTC 2026","","Checkout Tests","com.automation.selenide.tests.CheckoutTest","checkoutInfoPageHasCorrectTitle"
"","1096","Proceed to checkout navigates to info page","","Wed Mar 25 19:29:11 UTC 2026","passed","Wed Mar 25 19:29:12 UTC 2026","","Cart Tests","com.automation.selenide.tests.CartTest","proceedToCheckoutNavigatesToInfoPage"
"","940","Adding a product shows the remove button","","Wed Mar 25 19:29:02 UTC 2026","passed","Wed Mar 25 19:29:03 UTC 2026","","Inventory Tests","com.automation.selenide.tests.InventoryTest","addingProductShowsRemoveButton"
"","1269","Incomplete form shows validation error Incomplete form shows validation error [3] — Error: Postal Code is required","","Wed Mar 25 19:29:26 UTC 2026","passed","Wed Mar 25 19:29:27 UTC 2026","","Checkout Tests","com.automation.selenide.tests.CheckoutTest","incompleteFormShowsValidationError"
"","846","Invalid login shows error message Invalid login shows error message [4] — Epic sadface: Password is required","","Wed Mar 25 19:29:09 UTC 2026","passed","Wed Mar 25 19:29:10 UTC 2026","","Login Tests","com.automation.selenide.tests.LoginTest","invalidLoginShowsError"
"","1478","Back to products returns to inventory page","","Wed Mar 25 19:29:22 UTC 2026","passed","Wed Mar 25 19:29:24 UTC 2026","","Checkout Tests","com.automation.selenide.tests.CheckoutTest","backToProductsReturnsToInventory"
"","865","Inventory page displays all products","","Wed Mar 25 19:29:04 UTC 2026","passed","Wed Mar 25 19:29:05 UTC 2026","","Inventory Tests","com.automation.selenide.tests.InventoryTest","inventoryPageDisplaysAllProducts"
"","999","Cart contains the added product","","Wed Mar 25 19:29:16 UTC 2026","passed","Wed Mar 25 19:29:17 UTC 2026","","Cart Tests","com.automation.selenide.tests.CartTest","cartContainsAddedProduct"
