"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","926","Inventory page displays all products","","Sun Mar 29 14:51:50 UTC 2026","passed","Sun Mar 29 14:51:51 UTC 2026","","Inventory Tests","com.automation.selenide.tests.InventoryTest","inventoryPageDisplaysAllProducts"
"","961","Standard user can login successfully","","Sun Mar 29 14:51:44 UTC 2026","passed","Sun Mar 29 14:51:45 UTC 2026","","Login Tests","com.automation.selenide.tests.LoginTest","standardUserCanLogin"
"","1382","Incomplete form shows validation error Incomplete form shows validation error [3] — Error: Postal Code is required","","Sun Mar 29 14:52:02 UTC 2026","passed","Sun Mar 29 14:52:04 UTC 2026","","Checkout Tests","com.automation.selenide.tests.CheckoutTest","incompleteFormShowsValidationError"
"","1488","Overview page shows the ordered item","","Sun Mar 29 14:51:55 UTC 2026","passed","Sun Mar 29 14:51:56 UTC 2026","","Checkout Tests","com.automation.selenide.tests.CheckoutTest","overviewPageShowsOrderedItem"
"","993","Invalid login shows error message Invalid login shows error message [1] — Epic sadface: Sorry, this user has been locked out.","","Sun Mar 29 14:51:40 UTC 2026","passed","Sun Mar 29 14:51:41 UTC 2026","","Login Tests","com.automation.selenide.tests.LoginTest","invalidLoginShowsError"
"","1011","Adding a product updates the cart badge","","Sun Mar 29 14:51:47 UTC 2026","passed","Sun Mar 29 14:51:48 UTC 2026","","Inventory Tests","com.automation.selenide.tests.InventoryTest","addingProductUpdatesCartBadge"
"","1143","Checkout info page has correct title","","Sun Mar 29 14:52:04 UTC 2026","passed","Sun Mar 29 14:52:05 UTC 2026","","Checkout Tests","com.automation.selenide.tests.CheckoutTest","checkoutInfoPageHasCorrectTitle"
"","1399","Incomplete form shows validation error Incomplete form shows validation error [2] — Error: Last Name is required","","Sun Mar 29 14:52:01 UTC 2026","passed","Sun Mar 29 14:52:02 UTC 2026","","Checkout Tests","com.automation.selenide.tests.CheckoutTest","incompleteFormShowsValidationError"
"","1209","Continue shopping returns to inventory page","","Sun Mar 29 14:51:36 UTC 2026","passed","Sun Mar 29 14:51:38 UTC 2026","","Cart Tests","com.automation.selenide.tests.CartTest","continueShoppingReturnsToInventory"
"","1273","Removing a product empties the cart","","Sun Mar 29 14:51:35 UTC 2026","passed","Sun Mar 29 14:51:36 UTC 2026","","Cart Tests","com.automation.selenide.tests.CartTest","removingProductEmptiesCart"
"","1456","Valid info navigates to checkout overview","","Sun Mar 29 14:51:54 UTC 2026","passed","Sun Mar 29 14:51:55 UTC 2026","","Checkout Tests","com.automation.selenide.tests.CheckoutTest","validInfoNavigatesToOverview"
"","988","Adding a product shows the remove button","","Sun Mar 29 14:51:48 UTC 2026","passed","Sun Mar 29 14:51:49 UTC 2026","","Inventory Tests","com.automation.selenide.tests.InventoryTest","addingProductShowsRemoveButton"
"","1557","Finishing order navigates to confirmation page","","Sun Mar 29 14:51:52 UTC 2026","passed","Sun Mar 29 14:51:54 UTC 2026","","Checkout Tests","com.automation.selenide.tests.CheckoutTest","finishingOrderNavigatesToConfirmation"
"","937","Invalid login shows error message Invalid login shows error message [2] — Epic sadface: Username and password do not match any user in this service","","Sun Mar 29 14:51:41 UTC 2026","passed","Sun Mar 29 14:51:42 UTC 2026","","Login Tests","com.automation.selenide.tests.LoginTest","invalidLoginShowsError"
"","1208","Cancel checkout returns to cart page","","Sun Mar 29 14:51:56 UTC 2026","passed","Sun Mar 29 14:51:58 UTC 2026","","Checkout Tests","com.automation.selenide.tests.CheckoutTest","cancelCheckoutReturnsToCart"
"","915","Cart badge not displayed initially","","Sun Mar 29 14:51:49 UTC 2026","passed","Sun Mar 29 14:51:50 UTC 2026","","Inventory Tests","com.automation.selenide.tests.InventoryTest","cartBadgeNotDisplayedInitially"
"","1918","Back to products returns to inventory page","","Sun Mar 29 14:51:58 UTC 2026","passed","Sun Mar 29 14:52:00 UTC 2026","","Checkout Tests","com.automation.selenide.tests.CheckoutTest","backToProductsReturnsToInventory"
"","1139","Cart contains the added product","","Sun Mar 29 14:51:39 UTC 2026","passed","Sun Mar 29 14:51:40 UTC 2026","","Cart Tests","com.automation.selenide.tests.CartTest","cartContainsAddedProduct"
