"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1258","Inventory page has correct title","","Tue Apr 07 14:55:41 UTC 2026","passed","Tue Apr 07 14:55:42 UTC 2026","","Inventory Tests","com.automation.selenide.tests.InventoryTest","inventoryPageHasCorrectTitle"
"","1789","Finishing order navigates to confirmation page","","Tue Apr 07 14:55:51 UTC 2026","passed","Tue Apr 07 14:55:52 UTC 2026","","Checkout Tests","com.automation.selenide.tests.CheckoutTest","finishingOrderNavigatesToConfirmation"
"","1082","Standard user can login successfully","","Tue Apr 07 14:55:40 UTC 2026","passed","Tue Apr 07 14:55:41 UTC 2026","","Login Tests","com.automation.selenide.tests.LoginTest","standardUserCanLogin"
"","1329","Checkout info page has correct title","","Tue Apr 07 14:56:03 UTC 2026","passed","Tue Apr 07 14:56:05 UTC 2026","","Checkout Tests","com.automation.selenide.tests.CheckoutTest","checkoutInfoPageHasCorrectTitle"
"","1061","Invalid login shows error message Invalid login shows error message [4] — Epic sadface: Password is required","","Tue Apr 07 14:55:39 UTC 2026","passed","Tue Apr 07 14:55:40 UTC 2026","","Login Tests","com.automation.selenide.tests.LoginTest","invalidLoginShowsError"
"","1149","Invalid login shows error message Invalid login shows error message [2] — Epic sadface: Username and password do not match any user in this service","","Tue Apr 07 14:55:36 UTC 2026","passed","Tue Apr 07 14:55:38 UTC 2026","","Login Tests","com.automation.selenide.tests.LoginTest","invalidLoginShowsError"
"","3416","Proceed to checkout navigates to info page","","Tue Apr 07 14:55:26 UTC 2026","passed","Tue Apr 07 14:55:30 UTC 2026","","Cart Tests","com.automation.selenide.tests.CartTest","proceedToCheckoutNavigatesToInfoPage"
"","1155","Adding a product shows the remove button","","Tue Apr 07 14:55:44 UTC 2026","passed","Tue Apr 07 14:55:46 UTC 2026","","Inventory Tests","com.automation.selenide.tests.InventoryTest","addingProductShowsRemoveButton"
"","1259","Cart page has correct title","","Tue Apr 07 14:55:33 UTC 2026","passed","Tue Apr 07 14:55:34 UTC 2026","","Cart Tests","com.automation.selenide.tests.CartTest","cartPageHasCorrectTitle"
"","1545","Incomplete form shows validation error Incomplete form shows validation error [3] — Error: Postal Code is required","","Tue Apr 07 14:56:02 UTC 2026","passed","Tue Apr 07 14:56:03 UTC 2026","","Checkout Tests","com.automation.selenide.tests.CheckoutTest","incompleteFormShowsValidationError"
"","1512","Incomplete form shows validation error Incomplete form shows validation error [1] — Error: First Name is required","","Tue Apr 07 14:55:59 UTC 2026","passed","Tue Apr 07 14:56:00 UTC 2026","","Checkout Tests","com.automation.selenide.tests.CheckoutTest","incompleteFormShowsValidationError"
"","1263","Invalid login shows error message Invalid login shows error message [1] — Epic sadface: Sorry, this user has been locked out.","","Tue Apr 07 14:55:35 UTC 2026","passed","Tue Apr 07 14:55:36 UTC 2026","","Login Tests","com.automation.selenide.tests.LoginTest","invalidLoginShowsError"
