"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","965","Invalid login shows error message Invalid login shows error message [2] — Epic sadface: Username and password do not match any user in this service","","Tue Apr 07 13:46:15 UTC 2026","passed","Tue Apr 07 13:46:16 UTC 2026","","Login Tests","com.automation.selenide.tests.LoginTest","invalidLoginShowsError"
"","1409","Incomplete form shows validation error Incomplete form shows validation error [1] — Error: First Name is required","","Tue Apr 07 13:46:34 UTC 2026","passed","Tue Apr 07 13:46:36 UTC 2026","","Checkout Tests","com.automation.selenide.tests.CheckoutTest","incompleteFormShowsValidationError"
"","1349","User can logout successfully","","Tue Apr 07 13:46:25 UTC 2026","passed","Tue Apr 07 13:46:27 UTC 2026","","Inventory Tests","com.automation.selenide.tests.InventoryTest","userCanLogout"
"","1193","Cancel checkout returns to cart page","","Tue Apr 07 13:46:32 UTC 2026","passed","Tue Apr 07 13:46:33 UTC 2026","","Checkout Tests","com.automation.selenide.tests.CheckoutTest","cancelCheckoutReturnsToCart"
"","1591","Finishing order navigates to confirmation page","","Tue Apr 07 13:46:27 UTC 2026","passed","Tue Apr 07 13:46:28 UTC 2026","","Checkout Tests","com.automation.selenide.tests.CheckoutTest","finishingOrderNavigatesToConfirmation"
"","1416","Removing a product empties the cart","","Tue Apr 07 13:46:10 UTC 2026","passed","Tue Apr 07 13:46:11 UTC 2026","","Cart Tests","com.automation.selenide.tests.CartTest","removingProductEmptiesCart"
"","993","Adding a product shows the remove button","","Tue Apr 07 13:46:22 UTC 2026","passed","Tue Apr 07 13:46:23 UTC 2026","","Inventory Tests","com.automation.selenide.tests.InventoryTest","addingProductShowsRemoveButton"
"","1491","Incomplete form shows validation error Incomplete form shows validation error [2] — Error: Last Name is required","","Tue Apr 07 13:46:36 UTC 2026","passed","Tue Apr 07 13:46:37 UTC 2026","","Checkout Tests","com.automation.selenide.tests.CheckoutTest","incompleteFormShowsValidationError"
"","1154","Cart contains the added product","","Tue Apr 07 13:46:13 UTC 2026","passed","Tue Apr 07 13:46:14 UTC 2026","","Cart Tests","com.automation.selenide.tests.CartTest","cartContainsAddedProduct"
"","896","Invalid login shows error message Invalid login shows error message [3] — Epic sadface: Username is required","","Tue Apr 07 13:46:16 UTC 2026","passed","Tue Apr 07 13:46:17 UTC 2026","","Login Tests","com.automation.selenide.tests.LoginTest","invalidLoginShowsError"
"","1013","Inventory page has correct title","","Tue Apr 07 13:46:19 UTC 2026","passed","Tue Apr 07 13:46:20 UTC 2026","","Inventory Tests","com.automation.selenide.tests.InventoryTest","inventoryPageHasCorrectTitle"
"","930","Invalid login shows error message Invalid login shows error message [4] — Epic sadface: Password is required","","Tue Apr 07 13:46:17 UTC 2026","passed","Tue Apr 07 13:46:18 UTC 2026","","Login Tests","com.automation.selenide.tests.LoginTest","invalidLoginShowsError"
"","1113","Cart page has correct title","","Tue Apr 07 13:46:12 UTC 2026","passed","Tue Apr 07 13:46:13 UTC 2026","","Cart Tests","com.automation.selenide.tests.CartTest","cartPageHasCorrectTitle"
"","1576","Back to products returns to inventory page","","Tue Apr 07 13:46:33 UTC 2026","passed","Tue Apr 07 13:46:34 UTC 2026","","Checkout Tests","com.automation.selenide.tests.CheckoutTest","backToProductsReturnsToInventory"
"","949","Inventory page displays all products","","Tue Apr 07 13:46:24 UTC 2026","passed","Tue Apr 07 13:46:25 UTC 2026","","Inventory Tests","com.automation.selenide.tests.InventoryTest","inventoryPageDisplaysAllProducts"
"","1393","Incomplete form shows validation error Incomplete form shows validation error [3] — Error: Postal Code is required","","Tue Apr 07 13:46:37 UTC 2026","passed","Tue Apr 07 13:46:39 UTC 2026","","Checkout Tests","com.automation.selenide.tests.CheckoutTest","incompleteFormShowsValidationError"
"","1021","Invalid login shows error message Invalid login shows error message [1] — Epic sadface: Sorry, this user has been locked out.","","Tue Apr 07 13:46:14 UTC 2026","passed","Tue Apr 07 13:46:15 UTC 2026","","Login Tests","com.automation.selenide.tests.LoginTest","invalidLoginShowsError"
"","1226","Continue shopping returns to inventory page","","Tue Apr 07 13:46:11 UTC 2026","passed","Tue Apr 07 13:46:12 UTC 2026","","Cart Tests","com.automation.selenide.tests.CartTest","continueShoppingReturnsToInventory"
"","1722","Valid info navigates to checkout overview","","Tue Apr 07 13:46:28 UTC 2026","failed","Tue Apr 07 13:46:30 UTC 2026","","Checkout Tests","com.automation.selenide.tests.CheckoutTest","validInfoNavigatesToOverview"
"","1210","Checkout info page has correct title","","Tue Apr 07 13:46:39 UTC 2026","failed","Tue Apr 07 13:46:40 UTC 2026","","Checkout Tests","com.automation.selenide.tests.CheckoutTest","checkoutInfoPageHasCorrectTitle"
"","956","Standard user can login successfully","","Tue Apr 07 13:46:18 UTC 2026","passed","Tue Apr 07 13:46:19 UTC 2026","","Login Tests","com.automation.selenide.tests.LoginTest","standardUserCanLogin"
"","1521","Overview page shows the ordered item","","Tue Apr 07 13:46:30 UTC 2026","passed","Tue Apr 07 13:46:32 UTC 2026","","Checkout Tests","com.automation.selenide.tests.CheckoutTest","overviewPageShowsOrderedItem"
"","1085","Adding multiple products updates badge count","","Tue Apr 07 13:46:20 UTC 2026","passed","Tue Apr 07 13:46:21 UTC 2026","","Inventory Tests","com.automation.selenide.tests.InventoryTest","addingMultipleProductsUpdatesBadgeCount"
"","2853","Proceed to checkout navigates to info page","","Tue Apr 07 13:46:07 UTC 2026","failed","Tue Apr 07 13:46:09 UTC 2026","","Cart Tests","com.automation.selenide.tests.CartTest","proceedToCheckoutNavigatesToInfoPage"
"","953","Cart badge not displayed initially","","Tue Apr 07 13:46:23 UTC 2026","passed","Tue Apr 07 13:46:24 UTC 2026","","Inventory Tests","com.automation.selenide.tests.InventoryTest","cartBadgeNotDisplayedInitially"
"","1065","Adding a product updates the cart badge","","Tue Apr 07 13:46:21 UTC 2026","passed","Tue Apr 07 13:46:22 UTC 2026","","Inventory Tests","com.automation.selenide.tests.InventoryTest","addingProductUpdatesCartBadge"
